ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-MODELSWARD-2022-0001,MSU-MODELSWARD-2022,1,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=q9vrwWOBsPM=&t=1,Integrating Security Protocols in Scenario-based Requirements Specifications,Thorsten Koch; Sascha Trippel; Stefan Dziwok; Eric Bodden,10.5220/0010783300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=q9vrwWOBsPM=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0002,MSU-MODELSWARD-2022,2,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=ly1adjGpxOY=&t=1,Modeling Context-aware Systems: A Conceptualized Framework,Achiya Elyasaf; Arnon Sturm,10.5220/0010818200003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=ly1adjGpxOY=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0003,MSU-MODELSWARD-2022,3,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=IOT+/z8UIH0=&t=1,A Model-based System Engineering Plugin for Safety Architecture Pattern Synthesis,Yuri Gil Dantas; Tiziano Munaro; Carmen Carlan; Vivek Nigam; Simon Barner; Shiqing Fan; Alexander Pretschner; Ulrich Schöpp; Sergey Tverdyshev,10.5220/0010831700003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=IOT+/z8UIH0=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0004,MSU-MODELSWARD-2022,4,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=RQgLUzZuXsk=&t=1,"Safety, Security and Performance Assessment of Security Countermeasures with SysML-Sec",Bastien Sultan; Ludovic Apvrille; Philippe Jaillon,10.5220/0010832300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=RQgLUzZuXsk=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0005,MSU-MODELSWARD-2022,5,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=GhFu7cExOh0=&t=1,Extraction Process of the Logical Schema of a Document-oriented NoSQL Database,Fatma Abdelhedi; Hela Rajhi; Gilles Zurfluh,10.5220/0010899000003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=GhFu7cExOh0=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0006,MSU-MODELSWARD-2022,6,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=CRqzh8DWYQo=&t=1,Towards a MaaS Service for Cloud Service Interoperability,Nour El Houda Bouzerzour; Yahya Slimani,10.5220/0010911400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=CRqzh8DWYQo=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0007,MSU-MODELSWARD-2022,7,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=BUjykpmOIXQ=&t=1,Code Generation by Example,Kevin Lano; Qiaomu Xue,10.5220/0010973600003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=BUjykpmOIXQ=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0008,MSU-MODELSWARD-2022,8,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=M2PleUsmSoY=&t=1,MDD4REST: Model-Driven Methodology for Developing RESTful Web Services,Amirhossein Deljouyi; Raman Ramsin,10.5220/0011006300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=M2PleUsmSoY=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0009,MSU-MODELSWARD-2022,9,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=k06T7etc8e4=&t=1,Discerning Quantities from Units of Measurement,Steve McKeever,10.5220/0010971300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=k06T7etc8e4=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0010,MSU-MODELSWARD-2022,10,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=HjRWUdYsjmg=&t=1,The Problem with ‘Dimensionless Quantities’,B. D. Hall,10.5220/0010960300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=HjRWUdYsjmg=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
